run_id,sim_time,pre_time,final_cost,alpha0,alpha1,V0,V1,k_ryr0,k_ryr1,k_ryr2,k_ryr3,Vm,km,gca,F,R,T,Jer,Ve,Ke,Vp,Kp,gamma,delta_SMC,k_RyR,Ca_SR,Ca_in_SMC,min_bound_1,max_bound_1,min_bound_2,max_bound_2,min_bound_3,max_bound_3,min_bound_4,max_bound_4,min_bound_5,max_bound_5,min_bound_6,max_bound_6,min_bound_7,max_bound_7,min_bound_8,max_bound_8,min_bound_9,max_bound_9,min_bound_10,max_bound_10,min_bound_11,max_bound_11,min_bound_12,max_bound_12,min_bound_13,max_bound_13,min_bound_14,max_bound_14,min_bound_15,max_bound_15,min_bound_16,max_bound_16,min_bound_17,max_bound_17,min_bound_18,max_bound_18,min_bound_19,max_bound_19,min_bound_20,max_bound_20,min_bound_21,max_bound_21,min_bound_22,max_bound_22,min_bound_23,max_bound_23,min_bound_24,max_bound_24
Set1(original),,,,0.05,0.25,-60.0,-30.0,0.0072,0.334,0.5,38.0,-50.0,12.0,16.0,96485.0,8345.0,310.0,0.1,4.5,0.1,4.5,0.4,5.5,,,27.5,0.116477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20250726_163524,2066.0,260.0,0.000486468,0.005033884,0.192075611,-60.0,-35.06320046,0.000155449,3.17112564,0.98905832,19.1891681,-41.04395606,7.885977607,15.37227138,96485.0,8345.0,310.0,0.027576647,88.44428134,1.747046592,2.856262377,0.4,6.316252467,0.05,5.0,35.74993921,0.151418422,0.005,0.05,0.025,0.25,-60.0,-60.0,-40.2,-21.0,7.2e-05,0.072,0.0334,3.34,0.1,2.5,7.6,190.0,-67.0,-35.0,1.2,240.0,1.6,160.0,96485.0,96485.0,8345.0,8345.0,310.0,310.0,0.01,0.2,0.45,90.0,0.01,2.0,0.45,22.5,0.4,0.4,0.55,55.0,19.25,35.75,0.00116477,0.1514201,,,,
20250729_004808,2066.0,260.0,0.831759102,0.006546728,0.194062653,-60.0,-29.60160832,0.058501363,3.267496197,0.821987948,29.08071245,-50.03492527,11.24653455,15.75421105,96485.0,8345.0,310.0,0.064785012,85.70601883,0.40136356,3.530115235,0.399862293,4.554648079,,,,,0.005,0.1,0.025,0.5,-60.0,-60.0,-40.2,-21.0,7.2e-05,0.072,0.0334,3.34,0.1,2.5,7.6,190.0,-67.0,-35.0,1.2,240.0,1.6,160.0,96485.0,96485.0,8345.0,8345.0,310.0,310.0,0.01,0.2,0.45,90.0,0.01,2.0,0.45,22.5,0.04,2.0,0.55,55.0,,,,,,,,
20250729_011515,2066.0,260.0,0.000583777,0.005063759,0.334103154,-60.0,-28.77443329,7.67e-05,2.479569834,0.90336871,23.48760522,-49.02034931,10.63549935,15.59819116,96485.0,8345.0,310.0,0.182298389,35.81703681,1.314359262,5.915940776,0.399812874,5.615484375,,,35.74391761,0.151359873,0.005,0.1,0.025,0.5,-60.0,-60.0,-40.2,-21.0,7.2e-05,0.072,0.0334,3.34,0.1,2.5,7.6,190.0,-67.0,-35.0,1.2,240.0,1.6,160.0,96485.0,96485.0,8345.0,8345.0,310.0,310.0,0.01,0.2,0.45,90.0,0.01,2.0,0.45,22.5,0.04,2.0,0.55,55.0,19.25,35.75,0.00116477,0.1514201,,,,
20250729_012341,2066.0,260.0,0.000598722,0.00911733,0.212990707,-60.0,-29.70966628,0.059714688,3.107792112,0.92242891,23.71902009,-49.93722124,11.33084186,15.81529711,96485.0,8345.0,310.0,0.19956591,29.65834463,1.763038652,3.812399577,0.399804525,4.005892798,,,27.5,0.116477,0.005,0.1,0.025,0.5,-60.0,-60.0,-40.2,-21.0,7.2e-05,0.072,0.0334,3.34,0.1,2.5,7.6,190.0,-67.0,-35.0,1.2,240.0,1.6,160.0,96485.0,96485.0,8345.0,8345.0,310.0,310.0,0.01,0.2,0.45,90.0,0.01,2.0,0.45,22.5,0.04,2.0,0.55,55.0,27.5,27.5,0.116477,0.116477,,,,
20250729_023718,2066.0,260.0,0.000450414,0.011579675,0.333924189,-60.0,-36.6709628,0.060774768,2.703846709,0.817433713,13.93255766,-45.31993165,5.927651852,14.91496877,96485.0,8345.0,310.0,0.191364491,66.02606603,1.06205094,5.885233691,0.399311525,6.140666197,,,27.5,0.116477,0.005,0.1,0.025,0.5,-60.0,-60.0,-40.2,-21.0,7.2e-05,0.072,0.0334,3.34,0.1,2.5,7.6,190.0,-67.0,-35.0,1.2,240.0,1.6,160.0,96485.0,96485.0,8345.0,8345.0,310.0,310.0,0.01,0.2,0.45,90.0,0.01,2.0,0.45,22.5,0.04,2.0,0.55,55.0,27.5,27.5,0.116477,0.116477,,,,
20250729_043322,2066.0,260.0,0.00045184,0.005022972,0.196179691,-60.0,-21.0009424,0.014700656,1.952411046,0.672554807,12.59976139,-38.08944371,10.44958838,17.32096905,96485.0,8345.0,310.0,0.035301676,12.51741309,0.709741796,2.832824147,0.397295493,5.141328384,0.035928301,3.309952398,27.5,0.116477,0.005,0.1,0.025,0.5,-60.0,-60.0,-40.2,-21.0,7.2e-05,0.072,0.0334,3.34,0.1,2.5,7.6,190.0,-67.0,-35.0,1.2,240.0,1.6,160.0,96485.0,96485.0,8345.0,8345.0,310.0,310.0,0.01,0.2,0.45,90.0,0.01,2.0,0.45,22.5,0.04,2.0,0.55,55.0,27.5,27.5,0.116477,0.116477,0.005,0.5,0.5,50.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Set 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20250811_105541,2066.0,260.0,0.013962497,0.015477953,0.253745211,-60.0,-28.39526788,0.215918243,2.782360013,1.026097122,55.45070197,-49.32277721,11.17704713,15.74219701,96485.0,8345.0,310.0,0.080161617,44.77442954,0.153522027,4.480136807,0.571990962,54.99998587,0.00595605,9.123936051,27.5,0.116477,0.005,0.1,0.025,2.5,-60.0,-60.0,-40.2,-21.0,0.01,1.0,0.0334,3.34,0.05,5.0,3.8,380.0,-67.0,-35.0,1.2,120.0,1.6,160.0,96485.0,96485.0,8345.0,8345.0,310.0,310.0,0.01,0.2,0.45,45.0,0.01,1.0,0.45,45.0,0.04,4.0,0.55,55.0,27.5,27.5,0.116477,0.116477,0.005,0.5,0.5,50.0
