run_id,sim_time,pre_time,final_cost,SS_Ca_in_SMC0,SS_Ca_SR0,SS_y0,l_1,l_2,l_3,l_4,l_5,l_m1,l_m2,l_m3,l_m4,l_m5,p_agonist,Ca_E,t1_KCL,t2_KCL,alpha0,alpha1,alpha2,V0,V1,k_ryr0,k_ryr1,k_ryr2,k_ryr3,Vm,km,gca,F,R,T,Jer,Ve,Ke,Vp,Kp,gamma,delta_SMC,k_RyR,k_ipr,min_bound_1,max_bound_1,min_bound_2,max_bound_2,min_bound_3,max_bound_3,min_bound_4,max_bound_4,min_bound_5,max_bound_5,min_bound_6,max_bound_6,min_bound_7,max_bound_7,min_bound_8,max_bound_8,min_bound_9,max_bound_9,min_bound_10,max_bound_10,min_bound_11,max_bound_11,min_bound_12,max_bound_12,min_bound_13,max_bound_13,min_bound_14,max_bound_14,min_bound_15,max_bound_15,min_bound_16,max_bound_16,min_bound_17,max_bound_17,min_bound_18,max_bound_18,min_bound_19,max_bound_19,min_bound_20,max_bound_20,min_bound_21,max_bound_21,min_bound_22,max_bound_22,min_bound_23,max_bound_23,min_bound_24,max_bound_24,min_bound_25,max_bound_25,min_bound_26,max_bound_26,min_bound_27,max_bound_27,min_bound_28,max_bound_28,min_bound_29,max_bound_29,min_bound_30,max_bound_30,min_bound_31,max_bound_31,min_bound_32,max_bound_32,min_bound_33,max_bound_33,min_bound_34,max_bound_34,min_bound_35,max_bound_35,min_bound_36,max_bound_36,min_bound_37,max_bound_37,min_bound_38,max_bound_38
20251020_013246,2002,2,0.0010175171043166,0.3031969321697876,11.979328074568793,0.6764814982154528,2000.0,1.0,2000.0,1.0,100.0,260.0,1.05,1886.0,0.145,8.2,0.0,1600.0,2.0,1802.0,0.0777939839182932,0.25,1.0,-60.0,-60.049493348303386,0.0207234039473584,1.3731476077598732,0.5018070785238223,38.19709260412257,-59.99999728959685,59.862821083172754,33.036563197273104,96485.0,8345.0,310.0,0.1966842740199718,7.3030147465746,0.182439774017369,4.5,0.4,5.5,0.049899213599608,5.0,5.55,2000.0,2000.0,1.0,1.0,2000.0,2000.0,1.0,1.0,100.0,100.0,260.0,260.0,1.05,1.05,1886.0,1886.0,0.145,0.145,8.2,8.2,0.0,0.0,1600.0,1600.0,2.0,2.0,1802.0,1802.0,0.05,0.1,0.25,0.25,1.0,1.0,-60.0,-60.0,-80.4,-60.0,0.0072,0.036,0.334,1.6700000000000002,0.5,2.5,38.0,190.0,-60.0,-50.0,12.0,60.0,16.0,80.0,96485.0,96485.0,8345.0,8345.0,310.0,310.0,0.1,0.2,4.5,9.0,0.1,0.2,4.5,4.5,0.4,0.4,5.5,5.5,0.005,0.05,5.0,5.0,5.55,5.55
20251020_013856,2002,2,0.0630894836857712,0.0577255131388575,0.8793399218303686,0.2847471551314722,2000.0,1.0,2000.0,1.0,100.0,260.0,1.05,1886.0,0.145,8.2,0.0,1600.0,2.0,1802.0,0.099940688691041,0.1,1.0,-60.0,-30.000060800782983,4.999937637566261,482424.9948708885,41724.999927655546,310.00006009721005,0.0083553140283292,1.499954023133578,0.4999641112756406,25.0,-50.0,0.1,0.0199520272968202,1.000066106962352,0.1999545882973109,1.0,0.1,5.5,0.0009521803837298,1.0,0.1,2000.0,2000.0,1.0,1.0,2000.0,2000.0,1.0,1.0,100.0,100.0,260.0,260.0,1.05,1.05,1886.0,1886.0,0.145,0.145,8.2,8.2,0.0,0.0,1600.0,1600.0,2.0,2.0,1802.0,1802.0,0.05,0.1,0.1,0.1,1.0,1.0,-60.0,-60.0,-40.2,-30.0,1.0,5.0,96485.0,482425.0,8345.0,41725.0,310.0,1550.0,0.007,0.0084,0.3,1.5,0.1,0.5,25.0,25.0,-50.0,-50.0,0.1,0.1,0.01,0.02,1.0,2.0,0.1,0.2,1.0,1.0,0.1,0.1,5.5,5.5,0.0001,0.001,1.0,1.0,0.1,0.1
20251020_014533,2002,2,0.0630894658111901,0.0577255131583538,0.8793382999348885,0.2847471552002587,2000.0,1.0,2000.0,1.0,100.0,260.0,1.05,1886.0,0.145,8.2,0.0,1600.0,2.0,1802.0,0.0999406888125637,0.1,1.0,-60.0,-30.00006080078313,4.999937647299243,482424.9994640072,41700.52847337499,310.0000600972064,0.0083553140316272,1.4999540260534074,0.4999641122489129,25.0,-50.0,0.1,0.0199520273210374,1.0000661069625127,0.1999549746451082,1.0,0.1,5.5,0.0009521803836134,5.5,0.1,2000.0,2000.0,1.0,1.0,2000.0,2000.0,1.0,1.0,100.0,100.0,260.0,260.0,1.05,1.05,1886.0,1886.0,0.145,0.145,8.2,8.2,0.0,0.0,1600.0,1600.0,2.0,2.0,1802.0,1802.0,0.05,0.1,0.1,0.1,1.0,1.0,-60.0,-60.0,-40.2,-30.0,1.0,5.0,96485.0,482425.0,8345.0,41725.0,310.0,1550.0,0.007,0.0084,0.3,1.5,0.1,0.5,25.0,25.0,-50.0,-50.0,0.1,0.1,0.01,0.02,1.0,2.0,0.1,0.2,1.0,1.0,0.1,0.1,5.5,5.5,0.0001,0.001,5.5,5.5,0.1,0.1
20251020_015213,2002,2,0.0630893529926446,0.0577256380366839,0.8793291779775247,0.284747595793672,2000.0,1.0,2000.0,1.0,100.0,260.0,1.05,1886.0,0.145,8.2,0.0,1600.0,2.0,1802.0,0.0999414671963349,0.1,1.0,-60.0,-30.000060801730783,4.999999990983811,209101.9975718509,31321.869752133247,310.0000600982024,0.0083553351557744,1.4999727287340496,0.4999703461552938,25.0,-50.0,0.1,0.0199521824349707,1.0000661079928668,0.1999565326384277,1.0,0.1,5.5,0.000952179638289,10.0,0.1,2000.0,2000.0,1.0,1.0,2000.0,2000.0,1.0,1.0,100.0,100.0,260.0,260.0,1.05,1.05,1886.0,1886.0,0.145,0.145,8.2,8.2,0.0,0.0,1600.0,1600.0,2.0,2.0,1802.0,1802.0,0.05,0.1,0.1,0.1,1.0,1.0,-60.0,-60.0,-40.2,-30.0,1.0,5.0,96485.0,482425.0,8345.0,41725.0,310.0,1550.0,0.007,0.0084,0.3,1.5,0.1,0.5,25.0,25.0,-50.0,-50.0,0.1,0.1,0.01,0.02,1.0,2.0,0.1,0.2,1.0,1.0,0.1,0.1,5.5,5.5,0.0001,0.001,10.0,10.0,0.1,0.1
20251020_015900,2002,2,0.0547528438728879,0.0577255131317878,0.8793383618465208,0.2847471551065287,2000.0,1.0,2000.0,1.0,100.0,260.0,1.05,1886.0,0.145,8.2,0.0,1600.0,2.0,1802.0,0.0999406886469743,0.1,1.0,-60.0,-30.00006080078293,4.99993763403656,482424.9941519946,41724.99993940284,310.0000600972075,0.0083553140271333,1.499954022074693,0.499964110922743,25.0,-50.0,0.1,0.0199520272880393,1.0000661069622936,0.1999549743136686,1.0,0.1,5.5,0.0504460975699859,1.0,0.1,2000.0,2000.0,1.0,1.0,2000.0,2000.0,1.0,1.0,100.0,100.0,260.0,260.0,1.05,1.05,1886.0,1886.0,0.145,0.145,8.2,8.2,0.0,0.0,1600.0,1600.0,2.0,2.0,1802.0,1802.0,0.05,0.1,0.1,0.1,1.0,1.0,-60.0,-60.0,-40.2,-30.0,1.0,5.0,96485.0,482425.0,8345.0,41725.0,310.0,1550.0,0.007,0.0084,0.3,1.5,0.1,0.5,25.0,25.0,-50.0,-50.0,0.1,0.1,0.01,0.02,1.0,2.0,0.1,0.2,1.0,1.0,0.1,0.1,5.5,5.5,0.00505,0.0505,1.0,1.0,0.1,0.1
20251020_020550,2002,2,0.0547526710739848,0.0577256380332205,0.8793292382097558,0.2847475957814527,2000.0,1.0,2000.0,1.0,100.0,260.0,1.05,1886.0,0.145,8.2,0.0,1600.0,2.0,1802.0,0.0999414671747474,0.1,1.0,-60.0,-30.00006080173076,4.999999989254784,335012.0032717895,38883.30750062815,310.00006009814297,0.0083553351551885,1.4999727282153532,0.4999703459824038,25.0,-50.0,0.1,0.0199521824306688,1.0000661079928383,0.1999565325952186,1.0,0.1,5.5,0.0504460967296983,5.5,0.1,2000.0,2000.0,1.0,1.0,2000.0,2000.0,1.0,1.0,100.0,100.0,260.0,260.0,1.05,1.05,1886.0,1886.0,0.145,0.145,8.2,8.2,0.0,0.0,1600.0,1600.0,2.0,2.0,1802.0,1802.0,0.05,0.1,0.1,0.1,1.0,1.0,-60.0,-60.0,-40.2,-30.0,1.0,5.0,96485.0,482425.0,8345.0,41725.0,310.0,1550.0,0.007,0.0084,0.3,1.5,0.1,0.5,25.0,25.0,-50.0,-50.0,0.1,0.1,0.01,0.02,1.0,2.0,0.1,0.2,1.0,1.0,0.1,0.1,5.5,5.5,0.00505,0.0505,5.5,5.5,0.1,0.1
20251020_021235,2002,2,0.0547527700114774,0.0577255131789247,0.8793382384583496,0.2847471552728366,2000.0,1.0,2000.0,1.0,100.0,260.0,1.05,1886.0,0.145,8.2,0.0,1600.0,2.0,1802.0,0.0999406889407846,0.1,1.0,-60.0,-30.000060800783285,4.999937657568935,482424.9996354058,14742.017781943005,310.0000600972065,0.0083553140351069,1.4999540291342452,0.4999641132758061,25.0,-50.0,0.1,0.0199520273465889,1.0000661069626826,0.1999549749017519,1.0,0.1,5.5,0.0504460975696688,10.0,0.1,2000.0,2000.0,1.0,1.0,2000.0,2000.0,1.0,1.0,100.0,100.0,260.0,260.0,1.05,1.05,1886.0,1886.0,0.145,0.145,8.2,8.2,0.0,0.0,1600.0,1600.0,2.0,2.0,1802.0,1802.0,0.05,0.1,0.1,0.1,1.0,1.0,-60.0,-60.0,-40.2,-30.0,1.0,5.0,96485.0,482425.0,8345.0,41725.0,310.0,1550.0,0.007,0.0084,0.3,1.5,0.1,0.5,25.0,25.0,-50.0,-50.0,0.1,0.1,0.01,0.02,1.0,2.0,0.1,0.2,1.0,1.0,0.1,0.1,5.5,5.5,0.00505,0.0505,10.0,10.0,0.1,0.1
20251020_021840,2002,2,0.0529396749685155,0.0577255130176465,0.879317973710831,0.2847471547038174,2000.0,1.0,2000.0,1.0,100.0,260.0,1.05,1886.0,0.145,8.2,0.0,1600.0,2.0,1802.0,0.0999406879355179,0.1,1.0,-60.0,-30.000060800782062,4.99993757705334,363162.97588181245,14356.7370735846,310.0000600972053,0.0083553140078265,1.4999540049802058,0.4999641052251429,25.0,-50.0,0.1,0.0199520271462699,1.000066106961352,0.199960019590242,1.0,0.1,5.5,0.0999340176307728,1.0,0.1,2000.0,2000.0,1.0,1.0,2000.0,2000.0,1.0,1.0,100.0,100.0,260.0,260.0,1.05,1.05,1886.0,1886.0,0.145,0.145,8.2,8.2,0.0,0.0,1600.0,1600.0,2.0,2.0,1802.0,1802.0,0.05,0.1,0.1,0.1,1.0,1.0,-60.0,-60.0,-40.2,-30.0,1.0,5.0,96485.0,482425.0,8345.0,41725.0,310.0,1550.0,0.007,0.0084,0.3,1.5,0.1,0.5,25.0,25.0,-50.0,-50.0,0.1,0.1,0.01,0.02,1.0,2.0,0.1,0.2,1.0,1.0,0.1,0.1,5.5,5.5,0.01,0.1,1.0,1.0,0.1,0.1
20251020_022452,2002,2,0.0529396355113511,0.0577255130176465,0.8793179137340683,0.2847471547038174,2000.0,1.0,2000.0,1.0,100.0,260.0,1.05,1886.0,0.145,8.2,0.0,1600.0,2.0,1802.0,0.0999406879355179,0.1,1.0,-60.0,-30.000060800782062,4.99993757705334,179377.86647128384,13789.911270991135,310.0000600972053,0.0083553140078265,1.4999540049802058,0.4999641052251429,25.0,-50.0,0.1,0.0199520271462699,1.000066106961352,0.199960019590242,1.0,0.1,5.5,0.0999340176307728,5.5,0.1,2000.0,2000.0,1.0,1.0,2000.0,2000.0,1.0,1.0,100.0,100.0,260.0,260.0,1.05,1.05,1886.0,1886.0,0.145,0.145,8.2,8.2,0.0,0.0,1600.0,1600.0,2.0,2.0,1802.0,1802.0,0.05,0.1,0.1,0.1,1.0,1.0,-60.0,-60.0,-40.2,-30.0,1.0,5.0,96485.0,482425.0,8345.0,41725.0,310.0,1550.0,0.007,0.0084,0.3,1.5,0.1,0.5,25.0,25.0,-50.0,-50.0,0.1,0.1,0.01,0.02,1.0,2.0,0.1,0.2,1.0,1.0,0.1,0.1,5.5,5.5,0.01,0.1,5.5,5.5,0.1,0.1
20251020_023104,2002,2,0.05293959605986,0.0577255130176465,0.8793178537573471,0.2847471547038174,2000.0,1.0,2000.0,1.0,100.0,260.0,1.05,1886.0,0.145,8.2,0.0,1600.0,2.0,1802.0,0.0999406879355179,0.1,1.0,-60.0,-30.000060800782062,4.99993757705334,174300.58178492406,26919.469126851065,310.0000600972053,0.0083553140078265,1.4999540049802058,0.4999641052251429,25.0,-50.0,0.1,0.0199520271462699,1.000066106961352,0.199960019590242,1.0,0.1,5.5,0.0999340176307728,10.0,0.1,2000.0,2000.0,1.0,1.0,2000.0,2000.0,1.0,1.0,100.0,100.0,260.0,260.0,1.05,1.05,1886.0,1886.0,0.145,0.145,8.2,8.2,0.0,0.0,1600.0,1600.0,2.0,2.0,1802.0,1802.0,0.05,0.1,0.1,0.1,1.0,1.0,-60.0,-60.0,-40.2,-30.0,1.0,5.0,96485.0,482425.0,8345.0,41725.0,310.0,1550.0,0.007,0.0084,0.3,1.5,0.1,0.5,25.0,25.0,-50.0,-50.0,0.1,0.1,0.01,0.02,1.0,2.0,0.1,0.2,1.0,1.0,0.1,0.1,5.5,5.5,0.01,0.1,10.0,10.0,0.1,0.1
