run_id,run_counter,final_cost,SS_Ca_in_SMC0,SS_Ca_SR0,SS_y0,l_1,l_2,l_3,l_4,l_5,l_m1,l_m2,l_m3,l_m4,l_m5,p_agonist,Ca_E,t1_KCL,t2_KCL,alpha0,alpha1,alpha2,V0,V1,k_ryr0,k_ryr1,k_ryr2,k_ryr3,Vm,km,gca,F,R,T,Jer,Ve,Ke,Vp,Kp,gamma,delta_SMC,k_RyR,k_ipr,min_bound_1,max_bound_1,min_bound_2,max_bound_2,min_bound_3,max_bound_3,min_bound_4,max_bound_4,min_bound_5,max_bound_5,min_bound_6,max_bound_6,min_bound_7,max_bound_7,min_bound_8,max_bound_8,min_bound_9,max_bound_9,min_bound_10,max_bound_10,min_bound_11,max_bound_11,min_bound_12,max_bound_12,min_bound_13,max_bound_13,min_bound_14,max_bound_14,min_bound_15,max_bound_15,min_bound_16,max_bound_16,min_bound_17,max_bound_17,min_bound_18,max_bound_18,min_bound_19,max_bound_19,min_bound_20,max_bound_20,min_bound_21,max_bound_21,min_bound_22,max_bound_22,min_bound_23,max_bound_23,min_bound_24,max_bound_24,min_bound_25,max_bound_25,min_bound_26,max_bound_26,min_bound_27,max_bound_27,min_bound_28,max_bound_28,min_bound_29,max_bound_29,min_bound_30,max_bound_30,min_bound_31,max_bound_31,min_bound_32,max_bound_32,min_bound_33,max_bound_33,min_bound_34,max_bound_34,min_bound_35,max_bound_35,min_bound_36,max_bound_36,min_bound_37,max_bound_37,min_bound_38,max_bound_38
20251022_124432,1215,0.0032232290236851,0.3028139521512258,7.560315852688799,0.676204818310275,2000.0,1.0,2000.0,1.0,100.0,260.0,1.05,1886.0,0.145,8.2,0.0,1600.0,2.0,1802.0,0.4261332799976118,2.49993750473445,1.0,-60.0,-21.000036269268367,79.6565338960592,376164.09134631103,11342.35352056304,62.0000703304122,0.008358831506945,0.610074736449783,0.4999502596034059,25.0,-50.0,12.0,0.304403834236439,22.499959032286306,0.499955452578952,4.500066312264455,0.5324673584549232,6.5999444486528445,0.0099528402081454,9.999940987476233,5.55,2000.0,2000.0,1.0,1.0,2000.0,2000.0,1.0,1.0,100.0,100.0,260.0,260.0,1.05,1.05,1886.0,1886.0,0.145,0.145,8.2,8.2,0.0,0.0,1600.0,1600.0,2.0,2.0,1802.0,1802.0,0.005,0.5,0.025,2.5,1.0,1.0,-60.0,-60.0,-39.900000000000006,-21.0,3.2,80.0,19297.0,482425.0,1669.0,41725.0,62.0,1550.0,0.0049,0.0084,0.06,1.5,0.02,0.5,25.0,25.0,-50.0,-50.0,12.0,12.0,0.02,0.5,2.25,22.5,0.05,0.5,4.5,22.5,0.4,2.0,4.4,6.6,0.0001,0.01,0.1,10.0,5.55,5.55
20251022_125256,4602,0.0018492815507755,0.3023054253138975,10.112782434592098,0.6758367062097539,2000.0,1.0,2000.0,1.0,100.0,260.0,1.05,1886.0,0.145,8.2,0.0,1600.0,2.0,1802.0,0.4028017626513249,2.49993750473445,1.0,-60.0,-21.00003629454385,29.07519865094215,482412.4996632397,1669.2530421659549,62.021990199237536,0.008358831506945,0.610074736449783,0.4999502596034059,25.0,-50.0,12.0,0.0200373885501991,11.736194111146585,0.0636260873182278,4.901687785547956,0.5526489489206974,6.599966373755937,0.0099598616896133,33.36746176050155,5.55,2000.0,2000.0,1.0,1.0,2000.0,2000.0,1.0,1.0,100.0,100.0,260.0,260.0,1.05,1.05,1886.0,1886.0,0.145,0.145,8.2,8.2,0.0,0.0,1600.0,1600.0,2.0,2.0,1802.0,1802.0,0.005,0.5,0.025,2.5,1.0,1.0,-60.0,-60.0,-39.900000000000006,-21.0,3.2,80.0,19297.0,482425.0,1669.0,41725.0,62.0,1550.0,0.0049,0.0084,0.06,1.5,0.02,0.5,25.0,25.0,-50.0,-50.0,12.0,12.0,0.02,0.5,2.25,22.5,0.05,0.5,4.5,22.5,0.4,2.0,4.4,6.6,0.0001,0.01,0.5,50.0,5.55,5.55
20251022_132454,822,0.0025444024796009,0.3005559168729553,7.025944033163641,0.6745638549305925,2000.0,1.0,2000.0,1.0,100.0,260.0,1.05,1886.0,0.145,8.2,0.0,1600.0,2.0,1802.0,0.4999098759931352,2.499896599169926,1.0,-60.0,-21.00019992068156,79.99878530981559,229653.69996145373,26196.812756894506,62.00986540588765,0.0083588068023594,0.6100690990564752,0.4999429882048728,25.0,-50.0,12.0,0.4999479517610892,22.49999993833901,0.4999559352109785,4.500066311058848,0.5055005086008353,6.599964446474349,0.0502393760191805,0.9125233439108722,5.55,2000.0,2000.0,1.0,1.0,2000.0,2000.0,1.0,1.0,100.0,100.0,260.0,260.0,1.05,1.05,1886.0,1886.0,0.145,0.145,8.2,8.2,0.0,0.0,1600.0,1600.0,2.0,2.0,1802.0,1802.0,0.005,0.5,0.025,2.5,1.0,1.0,-60.0,-60.0,-39.900000000000006,-21.0,3.2,80.0,19297.0,482425.0,1669.0,41725.0,62.0,1550.0,0.0049,0.0084,0.06,1.5,0.02,0.5,25.0,25.0,-50.0,-50.0,12.0,12.0,0.02,0.5,2.25,22.5,0.05,0.5,4.5,22.5,0.4,2.0,4.4,6.6,0.005,0.5,0.1,10.0,5.55,5.55
20251022_133028,4290,0.0007196834899515,0.3006432459490252,16.10976752990029,0.6746276280004796,2000.0,1.0,2000.0,1.0,100.0,260.0,1.05,1886.0,0.145,8.2,0.0,1600.0,2.0,1802.0,0.4984024296590334,0.6095896920463377,1.0,-60.0,-35.43716648448025,79.90124712051785,308980.6017988866,10749.66778930229,62.37274055050666,0.0083589957411555,1.4999785017339204,0.4999984625997062,25.0,-50.0,12.0,0.104937549626254,8.994624678163898,0.0500014493147939,4.500066320279242,0.5060769604004252,4.530357074987078,0.0337056490857559,0.7383407013465796,5.55,2000.0,2000.0,1.0,1.0,2000.0,2000.0,1.0,1.0,100.0,100.0,260.0,260.0,1.05,1.05,1886.0,1886.0,0.145,0.145,8.2,8.2,0.0,0.0,1600.0,1600.0,2.0,2.0,1802.0,1802.0,0.005,0.5,0.025,2.5,1.0,1.0,-60.0,-60.0,-39.900000000000006,-21.0,3.2,80.0,19297.0,482425.0,1669.0,41725.0,62.0,1550.0,0.0049,0.0084,0.06,1.5,0.02,0.5,25.0,25.0,-50.0,-50.0,12.0,12.0,0.02,0.5,2.25,22.5,0.05,0.5,4.5,22.5,0.4,2.0,4.4,6.6,0.005,0.5,0.5,50.0,5.55,5.55
20251022_135956,1208,0.0032360213178493,0.3050197129342438,7.581503168683557,0.6777918925938536,2000.0,1.0,2000.0,1.0,100.0,260.0,1.05,1886.0,0.145,8.2,0.0,1600.0,2.0,1802.0,0.4261332769718712,0.9649692346302952,1.0,-60.0,-35.438258895117656,79.9803849879768,326405.96167815995,11124.700486232789,62.00007211664638,0.008358831506945,1.4999411668574278,0.4999502596034059,50.0,-50.0,12.0,0.3063524809812474,22.499959032286306,0.4999554525789521,4.500066312264455,0.5363459642048564,6.5999444486528445,0.0099528402081454,9.99994382458678,5.55,2000.0,2000.0,1.0,1.0,2000.0,2000.0,1.0,1.0,100.0,100.0,260.0,260.0,1.05,1.05,1886.0,1886.0,0.145,0.145,8.2,8.2,0.0,0.0,1600.0,1600.0,2.0,2.0,1802.0,1802.0,0.005,0.5,0.025,2.5,1.0,1.0,-60.0,-60.0,-39.900000000000006,-21.0,3.2,80.0,19297.0,482425.0,1669.0,41725.0,62.0,1550.0,0.0049,0.0084,0.06,1.5,0.02,0.5,50.0,50.0,-50.0,-50.0,12.0,12.0,0.02,0.5,2.25,22.5,0.05,0.5,4.5,22.5,0.4,2.0,4.4,6.6,0.0001,0.01,0.1,10.0,5.55,5.55
20251022_140830,4429,0.0018727758861442,0.3023735844256675,9.80435342776976,0.6758860937528327,2000.0,1.0,2000.0,1.0,100.0,260.0,1.05,1886.0,0.145,8.2,0.0,1600.0,2.0,1802.0,0.3979855829181357,2.276891397900355,1.0,-60.0,-22.74881349058633,36.76109467748024,482401.1470956547,1669.0104351694465,62.022423773397605,0.008358831506945,0.6100747208050575,0.4999503194737552,50.0,-50.0,12.0,0.0200428871150461,11.77935631227812,0.0660227199422957,4.933192641931718,0.5555540183325842,6.599966570846836,0.009962303756004,30.50589397894757,5.55,2000.0,2000.0,1.0,1.0,2000.0,2000.0,1.0,1.0,100.0,100.0,260.0,260.0,1.05,1.05,1886.0,1886.0,0.145,0.145,8.2,8.2,0.0,0.0,1600.0,1600.0,2.0,2.0,1802.0,1802.0,0.005,0.5,0.025,2.5,1.0,1.0,-60.0,-60.0,-39.900000000000006,-21.0,3.2,80.0,19297.0,482425.0,1669.0,41725.0,62.0,1550.0,0.0049,0.0084,0.06,1.5,0.02,0.5,50.0,50.0,-50.0,-50.0,12.0,12.0,0.02,0.5,2.25,22.5,0.05,0.5,4.5,22.5,0.4,2.0,4.4,6.6,0.0001,0.01,0.5,50.0,5.55,5.55
20251022_143952,844,0.0025442429650596,0.3005463914802757,7.025555286740905,0.6745568973900687,2000.0,1.0,2000.0,1.0,100.0,260.0,1.05,1886.0,0.145,8.2,0.0,1600.0,2.0,1802.0,0.4998953347791883,0.9703007111211268,1.0,-60.0,-21.000490777615283,79.99672767066733,305521.28109497577,16437.358142122903,62.01264026760036,0.0083587628882306,0.6100353481524946,0.4999485810975672,50.0,-50.0,12.0,0.4999485921000289,22.499992911709075,0.4999567799280462,4.500066308915796,0.5054886232079836,6.599999994002686,0.0502413754698715,0.9129007828132448,5.55,2000.0,2000.0,1.0,1.0,2000.0,2000.0,1.0,1.0,100.0,100.0,260.0,260.0,1.05,1.05,1886.0,1886.0,0.145,0.145,8.2,8.2,0.0,0.0,1600.0,1600.0,2.0,2.0,1802.0,1802.0,0.005,0.5,0.025,2.5,1.0,1.0,-60.0,-60.0,-39.900000000000006,-21.0,3.2,80.0,19297.0,482425.0,1669.0,41725.0,62.0,1550.0,0.0049,0.0084,0.06,1.5,0.02,0.5,50.0,50.0,-50.0,-50.0,12.0,12.0,0.02,0.5,2.25,22.5,0.05,0.5,4.5,22.5,0.4,2.0,4.4,6.6,0.005,0.5,0.1,10.0,5.55,5.55
20251022_144551,2850,0.0007270288968726,0.3004937979524491,15.224132958779512,0.6745184766512127,2000.0,1.0,2000.0,1.0,100.0,260.0,1.05,1886.0,0.145,8.2,0.0,1600.0,2.0,1802.0,0.4983741662287677,1.587304383623955,1.0,-60.0,-32.680711901081615,79.99999187597987,466444.02511745406,1675.6519080597332,62.64045134739128,0.008358832651149,1.4999999985910726,0.4999351905537968,50.0,-50.0,12.0,0.1044458659679325,7.790894022019177,0.0500428999672125,4.500066312320293,0.5058334567646796,4.447859975929868,0.0329651344642513,0.8320856138505943,5.55,2000.0,2000.0,1.0,1.0,2000.0,2000.0,1.0,1.0,100.0,100.0,260.0,260.0,1.05,1.05,1886.0,1886.0,0.145,0.145,8.2,8.2,0.0,0.0,1600.0,1600.0,2.0,2.0,1802.0,1802.0,0.005,0.5,0.025,2.5,1.0,1.0,-60.0,-60.0,-39.900000000000006,-21.0,3.2,80.0,19297.0,482425.0,1669.0,41725.0,62.0,1550.0,0.0049,0.0084,0.06,1.5,0.02,0.5,50.0,50.0,-50.0,-50.0,12.0,12.0,0.02,0.5,2.25,22.5,0.05,0.5,4.5,22.5,0.4,2.0,4.4,6.6,0.005,0.5,0.5,50.0,5.55,5.55
20251022_150606,1234,0.0032201139236558,0.3017364648590793,7.55371917709693,0.6754238540931744,2000.0,1.0,2000.0,1.0,100.0,260.0,1.05,1886.0,0.145,8.2,0.0,1600.0,2.0,1802.0,0.4261332880457101,2.49993750473445,1.0,-60.0,-21.00003629454385,79.39017039112454,299754.7254375524,19179.42663315662,62.0000665171026,0.008358831506945,0.3999815678493288,2.499939398530376,25.0,-50.0,12.0,0.3030878457027459,22.499959032286306,0.4999459588374317,4.500066312264455,0.5305727045062409,6.5999444486528445,0.0099528402081454,9.999940987476233,5.55,2000.0,2000.0,1.0,1.0,2000.0,2000.0,1.0,1.0,100.0,100.0,260.0,260.0,1.05,1.05,1886.0,1886.0,0.145,0.145,8.2,8.2,0.0,0.0,1600.0,1600.0,2.0,2.0,1802.0,1802.0,0.005,0.5,0.025,2.5,1.0,1.0,-60.0,-60.0,-39.900000000000006,-21.0,3.2,80.0,19297.0,482425.0,1669.0,41725.0,62.0,1550.0,0.0049,0.0084,0.06,1.5,0.1,2.5,25.0,25.0,-50.0,-50.0,12.0,12.0,0.02,0.5,2.25,22.5,0.05,0.5,4.5,22.5,0.4,2.0,4.4,6.6,0.0001,0.01,0.1,10.0,5.55,5.55
20251022_151450,4423,0.0018727665469814,0.302380910095428,9.803869880326108,0.675891400978484,2000.0,1.0,2000.0,1.0,100.0,260.0,1.05,1886.0,0.145,8.2,0.0,1600.0,2.0,1802.0,0.397979407949255,2.4999378916640307,1.0,-60.0,-21.000036254588643,36.795462931371816,466152.6787975049,1669.000045174409,62.02265552421588,0.008358831506945,0.9357906334249684,2.4879865432611115,25.0,-50.0,12.0,0.0200426800683763,11.793226570428953,0.0660404125842517,4.943951887289765,0.5558990348053597,6.599933344393998,0.0099623324761398,30.51952967479672,5.55,2000.0,2000.0,1.0,1.0,2000.0,2000.0,1.0,1.0,100.0,100.0,260.0,260.0,1.05,1.05,1886.0,1886.0,0.145,0.145,8.2,8.2,0.0,0.0,1600.0,1600.0,2.0,2.0,1802.0,1802.0,0.005,0.5,0.025,2.5,1.0,1.0,-60.0,-60.0,-39.900000000000006,-21.0,3.2,80.0,19297.0,482425.0,1669.0,41725.0,62.0,1550.0,0.0049,0.0084,0.06,1.5,0.1,2.5,25.0,25.0,-50.0,-50.0,12.0,12.0,0.02,0.5,2.25,22.5,0.05,0.5,4.5,22.5,0.4,2.0,4.4,6.6,0.0001,0.01,0.5,50.0,5.55,5.55
