run_id,run_counter,final_cost,SS_Ca_in_SMC0,SS_Ca_SR0,SS_y0,l_1,l_2,l_3,l_4,l_5,l_m1,l_m2,l_m3,l_m4,l_m5,p_agonist,Ca_E,t1_KCL,t2_KCL,alpha0,alpha1,alpha2,V0,V1,k_ryr0,k_ryr1,k_ryr2,k_ryr3,Vm,km,gca,F,R,T,Jer,Ve,Ke,Vp,Kp,gamma,delta_SMC,k_RyR,k_ipr,min_bound_1,max_bound_1,min_bound_2,max_bound_2,min_bound_3,max_bound_3,min_bound_4,max_bound_4,min_bound_5,max_bound_5,min_bound_6,max_bound_6,min_bound_7,max_bound_7,min_bound_8,max_bound_8,min_bound_9,max_bound_9,min_bound_10,max_bound_10,min_bound_11,max_bound_11,min_bound_12,max_bound_12,min_bound_13,max_bound_13,min_bound_14,max_bound_14,min_bound_15,max_bound_15,min_bound_16,max_bound_16,min_bound_17,max_bound_17,min_bound_18,max_bound_18,min_bound_19,max_bound_19,min_bound_20,max_bound_20,min_bound_21,max_bound_21,min_bound_22,max_bound_22,min_bound_23,max_bound_23,min_bound_24,max_bound_24,min_bound_25,max_bound_25,min_bound_26,max_bound_26,min_bound_27,max_bound_27,min_bound_28,max_bound_28,min_bound_29,max_bound_29,min_bound_30,max_bound_30,min_bound_31,max_bound_31,min_bound_32,max_bound_32,min_bound_33,max_bound_33,min_bound_34,max_bound_34,min_bound_35,max_bound_35,min_bound_36,max_bound_36,min_bound_37,max_bound_37,min_bound_38,max_bound_38
20251101_200845,1662,0.0003462991277146,0.2420018443531811,7.268419148007319,0.6253247830321145,2000.0,1.0,2000.0,1.0,100.0,260.0,1.05,1886.0,0.145,8.2,0.0,1600.0,2.0,1802.0,0.4631517980271608,0.2437743453653922,1.0,-60.0,-27.227117500945347,0.0377840024509346,0.0605299176315146,0.9997738421488224,31.165489754305646,-49.33438477501569,10.267501241791749,15.517035796535197,96485.0,8345.0,310.0,0.3635702011821557,4.511836028097215,0.044689285304083,4.982789825963544,0.3991385247888918,5.565190096845081,0.0500632824590419,5.594323069771232,5.55,2000.0,2000.0,1.0,1.0,2000.0,2000.0,1.0,1.0,100.0,100.0,260.0,260.0,1.05,1.05,1886.0,1886.0,0.145,0.145,8.2,8.2,0.0,0.0,1600.0,1600.0,2.0,2.0,1802.0,1802.0,0.025,0.5,0.125,1.25,1.0,1.0,-60.0,-60.0,-39.900000000000006,-21.0,0.00144,0.072,0.06,3.0,0.02,1.0,3.8,114.0,-100.0,-35.0,2.4000000000000004,60.0,3.2,80.0,96485.0,96485.0,8345.0,8345.0,310.0,310.0,0.02,0.5,0.9,45.0,0.01,1.0,0.9,45.0,0.04,2.0,2.75,27.5,0.005,0.5,0.5,50.0,5.55,5.55
20251101_202429,726,0.0008798436584206,0.2880051904466488,11.84877002961797,0.6651310349180084,2000.0,1.0,2000.0,1.0,100.0,260.0,1.05,1886.0,0.145,8.2,0.0,1600.0,2.0,1802.0,0.0250488748288479,0.2023398053250505,1.0,-60.0,-39.89995378633295,0.0719496321484306,2.133100456803977,0.2971409436784486,73.69258631193017,-74.78027437190327,37.97445416791103,42.4217665202643,96485.0,8345.0,310.0,0.1258281950213166,4.788999971676614,0.1622940738716769,7.373085316251895,0.4001603635562651,5.526746657572682,0.050440132450404,19.64186112189357,5.55,2000.0,2000.0,1.0,1.0,2000.0,2000.0,1.0,1.0,100.0,100.0,260.0,260.0,1.05,1.05,1886.0,1886.0,0.145,0.145,8.2,8.2,0.0,0.0,1600.0,1600.0,2.0,2.0,1802.0,1802.0,0.025,0.5,0.125,1.25,1.0,1.0,-60.0,-60.0,-39.900000000000006,-21.0,0.00144,0.072,0.06,3.0,0.02,1.0,3.8,114.0,-100.0,-35.0,2.4000000000000004,60.0,6.0,150.0,96485.0,96485.0,8345.0,8345.0,310.0,310.0,0.02,0.5,0.9,45.0,0.01,1.0,0.9,45.0,0.04,2.0,2.75,27.5,0.005,0.5,0.5,50.0,5.55,5.55
20251101_203034,2275,0.0003464249466448,0.241871977989355,7.666209264146381,0.6251990109141745,2000.0,1.0,2000.0,1.0,100.0,260.0,1.05,1886.0,0.145,8.2,0.0,1600.0,2.0,1802.0,0.4854995967902844,0.2573602120792204,1.0,-60.0,-33.04953230801908,0.029059072335911,0.0996369551037774,0.8833847761952037,75.0634643282052,-48.52364240003564,10.45434092512286,15.958746358775882,96485.0,8345.0,310.0,0.3440646802733609,4.496688401328211,0.044480467703381,5.1961076905675165,0.3996150295215495,5.790024522385222,0.0501332144880528,0.6094083252419219,5.55,2000.0,2000.0,1.0,1.0,2000.0,2000.0,1.0,1.0,100.0,100.0,260.0,260.0,1.05,1.05,1886.0,1886.0,0.145,0.145,8.2,8.2,0.0,0.0,1600.0,1600.0,2.0,2.0,1802.0,1802.0,0.025,0.5,0.125,1.25,1.0,1.0,-60.0,-60.0,-39.900000000000006,-21.0,0.00144,0.072,0.06,3.0,0.02,1.0,5.0,150.0,-100.0,-35.0,2.4000000000000004,60.0,3.2,80.0,96485.0,96485.0,8345.0,8345.0,310.0,310.0,0.02,0.5,0.9,45.0,0.01,1.0,0.9,45.0,0.04,2.0,2.75,27.5,0.005,0.5,0.5,50.0,5.55,5.55
20251101_204812,1324,0.0015807186408706,0.3099191509877364,34.915417436342715,0.681262044727792,2000.0,1.0,2000.0,1.0,100.0,260.0,1.05,1886.0,0.145,8.2,0.0,1600.0,2.0,1802.0,0.0487730329304525,0.231678378363207,1.0,-60.0,-36.86711853430595,0.0703752457916949,2.987826644011919,0.5643956215243352,118.26303807544345,-62.83521819369852,37.93706658367704,33.72510772684445,96485.0,8345.0,310.0,0.2479944502919356,44.99933379266229,0.3470996093892564,4.297381962890891,0.4038643715397054,13.326648028354365,0.0514913417309721,9.072344326945329,5.55,2000.0,2000.0,1.0,1.0,2000.0,2000.0,1.0,1.0,100.0,100.0,260.0,260.0,1.05,1.05,1886.0,1886.0,0.145,0.145,8.2,8.2,0.0,0.0,1600.0,1600.0,2.0,2.0,1802.0,1802.0,0.025,0.5,0.125,1.25,1.0,1.0,-60.0,-60.0,-39.900000000000006,-21.0,0.00144,0.072,0.06,3.0,0.02,1.0,5.0,150.0,-100.0,-35.0,2.4000000000000004,60.0,6.0,150.0,96485.0,96485.0,8345.0,8345.0,310.0,310.0,0.02,0.5,0.9,45.0,0.01,1.0,0.9,45.0,0.04,2.0,2.75,27.5,0.005,0.5,0.5,50.0,5.55,5.55
20251101_205844,3004,0.0003468836159521,0.2420134277826032,8.225200415116678,0.62533599717514,2000.0,1.0,2000.0,1.0,100.0,260.0,1.05,1886.0,0.145,8.2,0.0,1600.0,2.0,1802.0,0.4914172946312246,0.3440526397197798,1.0,-60.0,-32.15679649392344,0.0447312416953236,0.0755179112606528,51.23528606430791,35.108144187820315,-44.2623087858743,13.212567074342658,17.211849474597045,96485.0,8345.0,310.0,0.3136571992390323,4.502201884442046,0.0464769055039969,5.476531830675637,0.39893318796368,5.85105450454621,0.0503819457668456,5.850403643536502,5.55,2000.0,2000.0,1.0,1.0,2000.0,2000.0,1.0,1.0,100.0,100.0,260.0,260.0,1.05,1.05,1886.0,1886.0,0.145,0.145,8.2,8.2,0.0,0.0,1600.0,1600.0,2.0,2.0,1802.0,1802.0,0.025,0.5,0.125,1.25,1.0,1.0,-60.0,-60.0,-39.900000000000006,-21.0,0.00144,0.072,0.06,3.0,2.0,100.0,3.8,114.0,-100.0,-35.0,2.4000000000000004,60.0,3.2,80.0,96485.0,96485.0,8345.0,8345.0,310.0,310.0,0.02,0.5,0.9,45.0,0.01,1.0,0.9,45.0,0.04,2.0,2.75,27.5,0.005,0.5,0.5,50.0,5.55,5.55
20251101_212415,1567,0.0003465018420234,0.2412093289835727,7.665797329624496,0.6245559360732906,2000.0,1.0,2000.0,1.0,100.0,260.0,1.05,1886.0,0.145,8.2,0.0,1600.0,2.0,1802.0,0.2861869531772982,0.2310077907369894,1.0,-60.0,-33.86532224510778,0.0503710106197804,0.3970169754562317,94.45668980989424,29.64287308443899,-45.41484972803084,16.62519483408465,32.69609590765711,96485.0,8345.0,310.0,0.3327198874566736,4.498845306729839,0.047381408750891,5.235221950999689,0.3994984106787483,5.76934568233321,0.0501974529026851,5.561151361601354,5.55,2000.0,2000.0,1.0,1.0,2000.0,2000.0,1.0,1.0,100.0,100.0,260.0,260.0,1.05,1.05,1886.0,1886.0,0.145,0.145,8.2,8.2,0.0,0.0,1600.0,1600.0,2.0,2.0,1802.0,1802.0,0.025,0.5,0.125,1.25,1.0,1.0,-60.0,-60.0,-39.900000000000006,-21.0,0.00144,0.072,0.06,3.0,2.0,100.0,3.8,114.0,-100.0,-35.0,2.4000000000000004,60.0,6.0,150.0,96485.0,96485.0,8345.0,8345.0,310.0,310.0,0.02,0.5,0.9,45.0,0.01,1.0,0.9,45.0,0.04,2.0,2.75,27.5,0.005,0.5,0.5,50.0,5.55,5.55
20251101_213826,4109,0.0003468737834762,0.241029436005942,8.2528630107351,0.6243809759684543,2000.0,1.0,2000.0,1.0,100.0,260.0,1.05,1886.0,0.145,8.2,0.0,1600.0,2.0,1802.0,0.4907751429197652,0.3567092585588111,1.0,-60.0,-29.621157307673005,0.0414808928508641,0.9761280548854024,70.02770004216723,38.19737305282544,-43.62334156669269,13.838072792064404,17.51792061741365,96485.0,8345.0,310.0,0.307726531224029,4.497309956337463,0.0477094397707373,5.604127848746499,0.3981423341090495,5.990283483853935,0.0502134591534391,5.4363359117075385,5.55,2000.0,2000.0,1.0,1.0,2000.0,2000.0,1.0,1.0,100.0,100.0,260.0,260.0,1.05,1.05,1886.0,1886.0,0.145,0.145,8.2,8.2,0.0,0.0,1600.0,1600.0,2.0,2.0,1802.0,1802.0,0.025,0.5,0.125,1.25,1.0,1.0,-60.0,-60.0,-39.900000000000006,-21.0,0.00144,0.072,0.06,3.0,2.0,100.0,5.0,150.0,-100.0,-35.0,2.4000000000000004,60.0,3.2,80.0,96485.0,96485.0,8345.0,8345.0,310.0,310.0,0.02,0.5,0.9,45.0,0.01,1.0,0.9,45.0,0.04,2.0,2.75,27.5,0.005,0.5,0.5,50.0,5.55,5.55
20251101_221534,1560,0.0003466953022137,0.2415356721599934,8.00852038560475,0.6248729148600233,2000.0,1.0,2000.0,1.0,100.0,260.0,1.05,1886.0,0.145,8.2,0.0,1600.0,2.0,1802.0,0.3129576637091331,0.2317350102048361,1.0,-60.0,-32.65293311647432,0.053332308737509,1.4810343802391468,63.41355996249266,32.67379698071364,-44.9223041792818,16.736155748223933,32.9676963414861,96485.0,8345.0,310.0,0.3192902033434163,4.500743733063437,0.0471876444659893,5.377448612657399,0.3995135112393448,5.86206178288907,0.0502986264984848,5.547057486269612,5.55,2000.0,2000.0,1.0,1.0,2000.0,2000.0,1.0,1.0,100.0,100.0,260.0,260.0,1.05,1.05,1886.0,1886.0,0.145,0.145,8.2,8.2,0.0,0.0,1600.0,1600.0,2.0,2.0,1802.0,1802.0,0.025,0.5,0.125,1.25,1.0,1.0,-60.0,-60.0,-39.900000000000006,-21.0,0.00144,0.072,0.06,3.0,2.0,100.0,5.0,150.0,-100.0,-35.0,2.4000000000000004,60.0,6.0,150.0,96485.0,96485.0,8345.0,8345.0,310.0,310.0,0.02,0.5,0.9,45.0,0.01,1.0,0.9,45.0,0.04,2.0,2.75,27.5,0.005,0.5,0.5,50.0,5.55,5.55
20251101_222940,358,0.0045937428357957,0.2619986597118025,6.418579562975895,0.6437334705164014,2000.0,1.0,2000.0,1.0,100.0,260.0,1.05,1886.0,0.145,8.2,0.0,1600.0,2.0,1802.0,0.1322653496363115,0.2585789144306517,1.0,-60.0,-29.05963307369125,0.0016257991327507,5.226527212864532,0.6326457317780407,34.8599267445644,-55.90816204768902,20.38607805632347,20.48665254704396,96485.0,8345.0,310.0,0.4075376735071558,4.49952990770248,0.0500011548873044,4.306008079070683,0.3995249371239148,5.268370642280377,0.2940780281954924,38.282989017245534,5.55,2000.0,2000.0,1.0,1.0,2000.0,2000.0,1.0,1.0,100.0,100.0,260.0,260.0,1.05,1.05,1886.0,1886.0,0.145,0.145,8.2,8.2,0.0,0.0,1600.0,1600.0,2.0,2.0,1802.0,1802.0,0.025,0.5,0.125,1.25,1.0,1.0,-60.0,-60.0,-39.900000000000006,-21.0,0.00144,0.072,2.0,100.0,0.02,1.0,3.8,114.0,-100.0,-35.0,2.4000000000000004,60.0,3.2,80.0,96485.0,96485.0,8345.0,8345.0,310.0,310.0,0.02,0.5,0.9,45.0,0.01,1.0,0.9,45.0,0.04,2.0,2.75,27.5,0.005,0.5,0.5,50.0,5.55,5.55
20251101_223304,1087,0.0004323133850981,0.2444392145577726,5.291964346955328,0.6276697502981187,2000.0,1.0,2000.0,1.0,100.0,260.0,1.05,1886.0,0.145,8.2,0.0,1600.0,2.0,1802.0,0.0360215366731286,0.1679197959301633,1.0,-60.0,-35.84205696574529,0.0103991785600437,6.294624244766119,0.5927487845514732,70.90462086672242,-44.53254851941732,20.801801466417103,63.877226866238665,96485.0,8345.0,310.0,0.4999999853728985,6.671111050995362,0.0981871253676771,4.909082741375872,0.4008324969096364,6.170481883102718,0.0500641914764899,0.5055645079851268,5.55,2000.0,2000.0,1.0,1.0,2000.0,2000.0,1.0,1.0,100.0,100.0,260.0,260.0,1.05,1.05,1886.0,1886.0,0.145,0.145,8.2,8.2,0.0,0.0,1600.0,1600.0,2.0,2.0,1802.0,1802.0,0.025,0.5,0.125,1.25,1.0,1.0,-60.0,-60.0,-39.900000000000006,-21.0,0.00144,0.072,2.0,100.0,0.02,1.0,3.8,114.0,-100.0,-35.0,2.4000000000000004,60.0,6.0,150.0,96485.0,96485.0,8345.0,8345.0,310.0,310.0,0.02,0.5,0.9,45.0,0.01,1.0,0.9,45.0,0.04,2.0,2.75,27.5,0.005,0.5,0.5,50.0,5.55,5.55
